"Поисковая фраза (Директ)","Кампания Яндекс.Директа","Визиты","Посетители","Клики","Расходы, RUB","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей"
"ремонт унитаза спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","48","40","48","18162.6","0.20833333333333337","1.25","00:00:29","10"
"сантехнические работы","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","59","40","72","13024.988500000003","0.2033898305084746","1.4915254237288136","00:02:27","9"
"сантехник","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","43","37","48","9600.0","0.4418604651162791","1.3488372093023255","00:00:50","7"
"срочный вызов сантехника на дом в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","50","37","43","28384.905100000004","0.22","1.36","00:01:53","21"
"сантехник срочно на дом санкт петербург","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","45","36","41","28641.2372","0.2222222222222222","1.2222222222222223","00:01:37","14"
"ремонт смесителей в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","37","34","35","14111.244800000002","0.13513513513513514","1.8918918918918919","00:02:30","5"
"сантехника спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","37","34","37","5100.0","0.4594594594594595","1.3243243243243243","00:00:51","3"
"спб сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","40","34","36","18911.12","0.25","1.2","00:00:55","5"
"сантехника спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","34","33","35","1500.0","0.5882352941176471","1.1764705882352942","00:00:29","1"
"муж на час","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","42","32","53","5100.0","0.6190476190476191","1.119047619047619","00:01:22","3"
"сантехник на дом спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","33","32","34","10500.0","0.12121212121212122","1.2727272727272727","00:00:48","9"
"сантехник санкт петербург","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","36","32","37","22837.6252","0.19444444444444448","1.2777777777777777","00:01:29","12"
"сантехник спб вызвать на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","41","32","37","25342.5377","0.12195121951219512","1.1951219512195121","00:01:03","15"
"вызвать сантехника на дом недорого спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","36","31","35","21850.3764","0.1111111111111111","1.5277777777777777","00:02:31","15"
"ремонт сантехники спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","42","31","40","18132.331000000002","0.11904761904761903","1.5238095238095237","00:01:25","8"
"сантехник мурино","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","47","31","39","18751.8379","0.14893617021276595","1.297872340425532","00:02:51","11"
"сантехник срочно","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","40","31","38","30123.502900000003","0.225","1.125","00:02:24","16"
"услуги сантехника в спб недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","33","31","37","11311.243699999999","0.09090909090909091","1.3333333333333333","00:01:04","2"
"сантехник на дом спб недорого невский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","42","30","32","14797.2927","0.11904761904761903","1.2619047619047619","00:01:19","9"
"сантехник спб"," 24santehnik.com / мк / СПБ ок авто ( N-701674809 )","37","30","31","2521.8701","0.3783783783783784","1.1891891891891893","00:00:38","2"
"установка стиральной машины спб цена","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","36","30","35","4836.8477","0.16666666666666663","1.8611111111111112","00:00:55","2"
"вызвать сантехника на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","40","29","34","20248.3495","0.175","1.2","00:01:27","9"
"ремонт сантехники","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","41","29","39","19084.5013","0.14634146341463414","1.3414634146341464","00:01:31","6"
"сантехник колпино","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","37","29","37","17017.7537","0.1081081081081081","1.4324324324324325","00:02:24","14"
"сантехник спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","31","29","31","6000.0","0.06451612903225806","1.4193548387096775","00:01:21","4"
"установка унитаза цена за работу в спб","конверсионные / поиск / спб окл 600 ( N-701641638 )","31","29","31","3052.5958","0.16129032258064516","1.2580645161290323","00:00:32","0"
"аварийная служба","конверсионные / поиск / спб окл 600 ( N-701641638 )","31","28","33","10890.2998","0.4516129032258064","1.032258064516129","00:00:32","8"
"сантехник вызвать","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","36","28","30","19253.953100000002","0.19444444444444448","1.4444444444444444","00:02:11","13"
"сантехник петергоф","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","36","27","36","18416.717800000002","0.16666666666666663","1.5277777777777777","00:01:04","10"
"сантехнические работы спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","35","27","33","8169.3342999999995","0.11428571428571428","2.085714285714286","00:03:23","2"
"сантехник на дом спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","32","26","32","8300.0","0.1875","1.34375","00:00:59","5"
"сантехник 24 часа спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","33","25","31","12344.714800000002","0.09090909090909091","1.9393939393939394","00:03:32","9"
"сантехник колпино вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","32","25","34","18819.0948","0.125","1.125","00:01:08","9"
"муж на час цена в санкт петербурге","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","28","24","24","7000.0","0.39285714285714285","1.2142857142857142","00:00:23","3"
"сантехник шушары","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","28","24","25","9221.3145","0.14285714285714285","1.1785714285714286","00:03:56","11"
"замена фановой трубы в туалете цена спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","30","23","32","5080.7913","0.2","1.5","00:00:58","1"
"мастер на час","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","24","23","24","3500.0","0.41666666666666674","1.1666666666666667","00:00:13","2"
"ремонт стиральных машин в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","25","23","25","4000.0","0.44","1.08","00:00:10","2"
"сантехник круглосуточно спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","23","23","26","11102.4202","0.21739130434782608","1.0434782608695652","00:00:44","14"
"сантехник на дом спб недорого приморский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","28","23","27","14341.6253","0.17857142857142858","1.1785714285714286","00:00:28","4"
"срочный вызов сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","29","23","27","17837.4944","0.10344827586206896","1.103448275862069","00:00:54","15"
"замена счетчиков воды в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","25","22","24","0.0","0.36","1.28","00:00:34","1"
"ленремонт сантехник","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","24","22","22","6600.0","0.04166666666666666","1.125","00:01:10","6"
"сантехник спб срочно","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","33","22","27","20959.103600000002","0.18181818181818182","1.4545454545454546","00:00:42","8"
"сантехника","конверсионные / поиск / спб окл 600 ( N-701641638 )","30","22","20","7470.136499999999","0.43333333333333335","1.1666666666666667","00:00:44","6"
"сантехники","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","26","22","27","8084.2502","0.2692307692307692","1.2307692307692308","00:01:02","4"
"аварийная служба сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","23","21","26","7889.6365000000005","0.21739130434782608","1.0434782608695652","00:00:29","6"
"сантехник вызов","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","22","21","22","13379.104800000001","0.13636363636363635","1.3181818181818181","00:01:31","8"
"сантехник приморский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","25","21","25","12679.6582","0.12","1.2","00:01:39","5"
"сантехник санкт петербург вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","25","21","23","18731.0032","0.16","1.08","00:00:44","11"
"замена стекла в душевой кабине","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","21","20","21","0.0","0.0","1.0","00:00:22","0"
"сантехник срочно спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","23","20","21","16426.0344","0.043478260869565216","1.4782608695652173","00:01:55","11"
"сантехника","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","24","20","22","2000.0","0.375","1.3333333333333333","00:01:14","1"
"сантехники спб на дом недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","32","20","29","14304.13","0.1875","1.4375","00:01:37","7"
"сантехник на дом спб приморский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","25","19","22","11410.173099999998","0.12","1.4","00:00:39","3"
"сантехник приморский район спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","23","19","22","9237.962599999999","0.34782608695652173","1.1304347826086956","00:01:09","6"
"муж на час спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","18","18","21","4100.0","0.33333333333333326","1.0","00:00:10","2"
"сантехник","конверсионные / поиск / спб окл 600 ( N-701641638 )","21","18","21","9618.757099999999","0.2857142857142857","1.2380952380952381","00:01:54","3"
"сантехник петергоф вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","22","18","19","11534.421800000002","0.18181818181818182","1.2272727272727273","00:01:33","4"
"сантехник пушкин","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","18","22","6985.2131","0.15789473684210525","1.263157894736842","00:00:38","1"
"сантехники спб на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","27","18","22","12630.796699999999","0.037037037037037035","1.1481481481481481","00:02:05","7"
"установка смесителя в ванной цена спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","20","18","20","3137.3504","0.1","1.35","00:00:32","2"
"замена труб в квартире стоимость спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","25","17","20","4078.6009999999997","0.12","1.36","00:00:35","0"
